O_score,C_score,E_score,A_score,N_score,Career
6.98,8.87,4.43,5.43,4.87,Inżynier budownictwa
6.78,8.67,4.23,5.23,4.67,Inżynier budownictwa
6.98,8.87,4.43,5.43,4.87,Inżynier budownictwa
7.79,9.68,5.24,6.24,5.68,Inżynier budownictwa
7.99,9.88,5.44,6.44,5.88,Inżynier budownictwa
9.43,7.87,4.43,5.32,4.87,Koordynator badań klinicznych
9.43,7.87,4.43,5.32,4.87,Koordynator badań klinicznych
9.34,8.88,5.44,6.33,5.88,Koordynator badań klinicznych
8.87,8.32,4.21,5.43,4.87,Terapeuci ochrony środowiska
8.87,8.32,4.21,5.43,4.87,Terapeuci ochrony środowiska
9.88,9.33,5.22,6.44,5.88,Terapeuci ochrony środowiska
4.56,6.78,5.67,3.23,2.89,Inżynier budowy
4.56,6.78,5.67,3.23,2.89,Inżynier budowy
5.57,7.79,6.68,4.24,3.9,Inżynier budowy
6.87,7.54,8.87,8.09,5.65,Menedżer komunikacji korporacyjnej
6.87,7.54,8.87,8.09,5.65,Menedżer komunikacji korporacyjnej
7.88,8.55,9.88,9.1,6.66,Menedżer komunikacji korporacyjnej
6.01,7.78,5.23,9.34,6.45,Doradca
6.01,7.78,5.23,9.34,6.45,Doradca
7.02,8.79,6.24,8.23,7.46,Doradca
2.67,8.78,7.67,8.45,6.45,Celnik
2.87,8.98,7.87,8.65,6.65,Celnik
2.67,8.78,7.67,8.45,6.45,Celnik
2.87,8.98,7.87,8.65,6.65,Celnik
3.68,9.79,8.68,9.46,7.46,Celnik
3.88,9.99,8.88,9.66,7.66,Celnik
6.67,8.23,5.12,6.01,4.45,Analityk danych
6.67,8.23,5.12,6.01,4.45,Analityk danych
7.68,9.24,6.13,7.02,5.46,Analityk danych
6.78,7.23,3.89,5.12,4.67,Naukowiec danych
6.87,8.65,3.65,6.32,5.65,Naukowiec danych
6.78,7.23,3.89,5.12,4.67,Naukowiec danych
6.87,8.65,3.65,6.32,5.65,Naukowiec danych
7.79,8.24,4.9,6.13,5.68,Naukowiec danych
7.88,9.66,4.66,7.33,6.66,Naukowiec danych
6.67,8.45,3.45,6.12,5.45,Administrator baz danych
6.87,8.65,3.65,6.32,5.65,Administrator baz danych
6.67,8.45,3.45,6.12,5.45,Administrator baz danych
6.87,8.65,3.65,6.32,5.65,Administrator baz danych
7.68,9.46,4.46,7.13,6.46,Administrator baz danych
7.88,9.66,4.66,7.33,6.66,Administrator baz danych
6.78,8.45,3.45,6.45,5.45,Analityk baz danych
6.98,8.65,3.65,6.65,5.65,Analityk baz danych
6.78,8.45,3.45,6.45,5.45,Analityk baz danych
6.98,8.65,3.65,6.65,5.65,Analityk baz danych
7.79,9.46,4.46,7.46,6.46,Analityk baz danych
7.99,9.66,4.66,7.66,6.66,Analityk baz danych
7.43,8.65,5.65,9.32,6.21,Asystent dentystyczny
7.43,8.65,5.65,9.32,6.21,Asystent dentystyczny
8.44,9.66,6.66,7.54,7.22,Asystent dentystyczny
7.23,8.34,5.45,9.12,6.01,Higienistka stomatologiczna
7.43,8.65,5.65,9.32,6.21,Higienistka stomatologiczna
7.23,8.45,5.45,9.12,6.01,Higienistka stomatologiczna
7.23,8.34,5.45,9.12,6.01,Higienistka stomatologiczna
7.43,8.65,5.65,9.32,6.21,Higienistka stomatologiczna
7.23,8.45,5.45,9.12,6.01,Higienistka stomatologiczna
8.24,9.35,6.46,9.23,7.02,Higienistka stomatologiczna
8.44,9.66,6.66,8.13,7.22,Higienistka stomatologiczna
8.24,9.46,6.46,10.13,7.02,Higienistka stomatologiczna
7.67,8.23,6.01,9.12,5.45,Dyplomata
7.87,8.43,6.21,9.32,5.65,Dyplomata
7.67,8.23,6.01,9.12,5.45,Dyplomata
7.87,8.43,6.21,9.32,5.65,Dyplomata
8.68,9.24,7.02,9.12,6.46,Dyplomata
8.88,9.44,7.22,8.34,6.66,Dyplomata
9.09,7.87,4.65,5.32,6.21,Ekolog
9.09,7.87,4.65,5.32,6.21,Ekolog
9.2,8.88,5.66,6.33,7.22,Ekolog
7.23,7.67,4.23,5.45,4.89,Inżynier elektryk
7.43,7.87,4.43,5.65,5.09,Inżynier elektryk
7.23,7.67,4.23,5.45,4.89,Inżynier elektryk
7.43,7.87,4.43,5.65,5.09,Inżynier elektryk
8.24,8.68,5.24,6.46,5.9,Inżynier elektryk
8.44,8.88,5.44,6.66,6.1,Inżynier elektryk
7.34,7.67,4.23,5.45,4.89,Inżynier elektronik
7.54,7.87,4.43,5.65,5.09,Inżynier elektronik
7.34,7.67,4.23,5.45,4.89,Inżynier elektronik
7.54,7.87,4.43,5.65,5.09,Inżynier elektronik
8.35,8.68,5.24,6.46,5.9,Inżynier elektronik
8.55,8.88,5.44,6.66,6.1,Inżynier elektronik
6.45,7.67,5.34,9.23,4.45,Nauczyciel szkoły podstawowej
6.45,7.67,5.34,9.23,4.45,Nauczyciel szkoły podstawowej
7.46,8.68,6.35,9.12,5.46,Nauczyciel szkoły podstawowej
8.67,8.12,4.01,5.23,4.67,Inżynier środowiska
8.12,8.67,4.67,5.23,4.11,Inżynier środowiska
7.92,8.47,4.47,5.03,3.91,Inżynier środowiska
8.67,8.12,4.01,5.23,4.67,Inżynier środowiska
8.12,8.67,4.67,5.23,4.11,Inżynier środowiska
7.92,8.47,4.47,5.03,3.91,Inżynier środowiska
9.68,9.13,5.02,6.24,5.68,Inżynier środowiska
9.13,9.68,5.68,6.24,5.12,Inżynier środowiska
8.93,9.48,5.48,6.04,4.92,Inżynier środowiska
9.12,7.45,4.23,5.67,3.78,Naukowiec środowiskowy
8.67,8.12,4.01,5.23,4.67,Naukowiec środowiskowy
8.87,8.32,4.21,5.43,4.87,Naukowiec środowiskowy
9.12,7.45,4.23,5.67,3.78,Naukowiec środowiskowy
8.67,8.12,4.01,5.23,4.67,Naukowiec środowiskowy
8.87,8.32,4.21,5.43,4.87,Naukowiec środowiskowy
8.23,8.46,5.24,6.68,4.79,Naukowiec środowiskowy
9.68,9.13,5.02,6.24,5.68,Naukowiec środowiskowy
9.88,9.33,5.22,6.44,5.88,Naukowiec środowiskowy
7.01,3.78,8.45,6.78,5.45,Fotograf wydarzeń
7.01,3.78,8.45,6.78,5.45,Fotograf wydarzeń
8.02,4.79,9.46,7.79,6.46,Fotograf wydarzeń
6.67,6.01,8.45,8.23,4.34,Organizator wydarzeń
6.67,6.01,8.45,8.23,4.34,Organizator wydarzeń
7.68,7.02,9.46,9.24,5.35,Organizator wydarzeń
7.21,7.98,5.43,9.32,6.21,Terapeuci rodzinny
7.21,7.98,5.43,9.32,6.21,Terapeuci rodzinny
8.22,8.99,6.44,4.5,7.22,Terapeuci rodzinny
8.78,3.78,7.67,7.01,6.01,Projektant mody
8.78,3.78,7.67,7.01,6.01,Projektant mody
9.79,4.79,8.68,8.02,7.02,Projektant mody
8.78,4.23,7.67,7.45,6.45,Stylista mody
8.98,4.43,7.87,7.65,6.65,Stylista mody
8.78,4.23,7.67,7.45,6.45,Stylista mody
8.98,4.43,7.87,7.65,6.65,Stylista mody
9.79,5.24,8.68,8.46,7.46,Stylista mody
8.12,5.44,8.88,8.66,7.66,Stylista mody
8.67,4.23,7.67,7.45,6.45,Reżyser filmowy
8.87,4.43,7.87,7.65,6.65,Reżyser filmowy
8.67,4.23,7.67,7.45,6.45,Reżyser filmowy
8.87,4.43,7.87,7.65,6.65,Reżyser filmowy
9.68,5.24,8.68,8.46,7.46,Reżyser filmowy
9.88,5.44,8.88,8.66,7.66,Reżyser filmowy
6.67,7.78,3.45,6.01,5.45,Doradca finansowy
6.67,8.93,3.45,5.6,2.43,Doradca finansowy
6.47,8.73,3.25,5.4,2.23,Doradca finansowy
6.67,7.78,3.45,6.01,5.45,Doradca finansowy
6.67,8.93,3.45,5.6,2.43,Doradca finansowy
6.47,8.73,3.25,5.4,2.23,Doradca finansowy
7.68,8.79,4.46,7.02,6.46,Doradca finansowy
7.68,8.45,4.46,6.61,3.44,Doradca finansowy
7.48,9.74,4.26,6.41,3.24,Doradca finansowy
6.78,8.67,5.23,6.45,4.01,Analityk finansowy
6.78,8.67,5.23,6.45,4.01,Analityk finansowy
7.79,9.68,6.24,7.46,5.02,Analityk finansowy
6.78,8.67,4.45,6.01,4.78,Audytor finansowy
6.78,8.67,4.45,6.01,4.78,Audytor finansowy
7.79,9.68,5.46,7.02,5.79,Audytor finansowy
5.67,8.78,6.67,6.34,4.34,Planista finansowy
5.67,8.78,6.67,6.34,4.34,Planista finansowy
6.68,9.79,7.68,7.35,5.35,Planista finansowy
4.34,8.89,4.78,6.45,2.33,Inspektor lotów
4.34,8.89,4.78,6.45,2.33,Inspektor lotów
5.35,9.9,5.79,7.46,3.34,Inspektor lotów
7.67,8.23,6.01,9.12,5.45,Dyplomata służby zagranicznej
7.87,8.43,6.21,9.32,5.65,Dyplomata służby zagranicznej
7.67,8.23,6.01,9.12,5.45,Dyplomata służby zagranicznej
7.87,8.43,6.21,9.32,5.65,Dyplomata służby zagranicznej
8.68,9.24,7.02,8.2,6.46,Dyplomata służby zagranicznej
8.88,9.44,7.22,9.2,6.66,Dyplomata służby zagranicznej
8.67,7.78,4.45,5.12,6.01,Psycholog sądowy
8.87,7.98,4.65,5.32,6.21,Psycholog sądowy
8.78,7.67,4.01,5.12,4.67,Psycholog sądowy
8.67,7.78,4.45,5.12,6.01,Psycholog sądowy
8.87,7.98,4.65,5.32,6.21,Psycholog sądowy
8.78,7.67,4.01,5.12,4.67,Psycholog sądowy
9.68,8.79,5.46,6.13,7.02,Psycholog sądowy
9.88,8.99,5.66,6.33,7.22,Psycholog sądowy
9.79,8.68,5.02,6.13,5.68,Psycholog sądowy
8.78,7.67,4.01,5.12,4.67,Naukowiec sądowy
8.58,7.47,3.81,4.92,4.47,Naukowiec sądowy
8.78,7.67,4.01,5.12,4.67,Naukowiec sądowy
8.58,7.47,3.81,4.92,4.47,Naukowiec sądowy
9.79,8.68,5.02,6.13,5.68,Naukowiec sądowy
9.59,8.48,4.82,5.93,5.48,Naukowiec sądowy
7.45,7.12,4.67,8.67,6.34,Technik leśnictwa
7.65,7.32,4.87,8.87,6.54,Technik leśnictwa
7.45,7.12,4.67,8.67,6.34,Technik leśnictwa
7.65,7.32,4.87,8.87,6.54,Technik leśnictwa
8.46,8.13,5.68,9.68,7.35,Technik leśnictwa
8.66,8.33,5.88,9.88,7.55,Technik leśnictwa
6.23,4.23,8.45,7.98,6.45,Projektant mebli
6.23,4.23,8.45,7.98,6.45,Projektant mebli
7.24,5.24,9.46,8.99,7.46,Projektant mebli
8.98,4.43,7.87,7.65,6.65,Projektant gier
8.98,4.43,7.87,7.65,6.65,Projektant gier
8.23,5.44,8.88,8.66,7.66,Projektant gier
9.12,7.45,5.45,5.23,4.67,Deweloper gier
8.78,9.34,5.45,5.23,4.67,Deweloper gier
8.58,9.14,5.25,5.03,4.47,Deweloper gier
9.12,7.45,5.45,5.23,4.67,Deweloper gier
8.78,9.34,5.45,5.23,4.67,Deweloper gier
8.58,9.14,5.25,5.03,4.47,Deweloper gier
9.2,8.46,6.46,6.24,5.68,Deweloper gier
9.79,8.7,6.46,6.24,5.68,Deweloper gier
9.59,9.45,6.26,6.04,5.48,Deweloper gier
8.78,9.34,5.45,5.23,4.67,Tester gier
8.78,9.34,5.45,5.23,4.67,Tester gier
9.79,9.34,6.46,6.24,5.68,Tester gier
7.78,7.34,5.23,9.12,6.01,Doradca genetyczny
7.98,7.54,5.43,9.32,6.21,Doradca genetyczny
7.78,7.34,5.23,9.12,6.01,Doradca genetyczny
7.98,7.54,5.43,9.32,6.21,Doradca genetyczny
9.34,8.35,6.24,9.23,7.02,Doradca genetyczny
8.99,8.55,6.45,6.5,7.22,Doradca genetyczny
9.12,7.45,4.01,5.23,4.67,Geolog
9.5,8.1,4.01,5.23,3.1,Geolog
9.3,7.9,3.81,5.03,2.9,Geolog
9.12,7.45,4.01,5.23,4.67,Geolog
9.5,8.1,4.01,5.23,3.1,Geolog
9.3,7.9,3.81,5.03,2.9,Geolog
9.12,8.46,5.02,6.24,5.68,Geolog
9.23,9.11,5.02,6.24,4.11,Geolog
9.45,8.91,4.82,6.04,3.91,Geolog
8.78,5.67,4.56,6.45,4.23,Grafik
8.78,5.67,4.56,6.45,4.23,Grafik
9.79,6.68,5.57,7.46,5.24,Grafik
6.45,6.67,7.01,8.12,5.56,Rekruter HR
6.45,6.67,7.01,8.12,5.56,Rekruter HR
7.46,7.68,8.02,9.13,6.57,Rekruter HR
5.23,7.12,7.34,8.45,6.45,Menedżer zasobów ludzkich
5.23,7.12,7.34,8.45,6.45,Menedżer zasobów ludzkich
6.24,8.13,8.35,9.46,7.46,Menedżer zasobów ludzkich
7.45,7.78,6.01,8.67,6.45,Prawnik praw człowieka
7.65,7.98,6.21,8.87,6.65,Prawnik praw człowieka
7.45,7.78,6.01,8.67,6.45,Prawnik praw człowieka
7.65,7.98,6.21,8.87,6.65,Prawnik praw człowieka
8.46,8.79,7.02,9.68,7.46,Prawnik praw człowieka
8.66,8.99,7.22,9.88,7.66,Prawnik praw człowieka
9.5,8.1,4.01,5.23,3.1,Hydrolog
9.5,8.1,4.01,5.23,3.1,Hydrolog
9.87,9.11,5.02,6.24,4.11,Hydrolog
7.67,6.89,3.78,4.89,4.34,Projektant przemysłowy
7.67,6.89,3.78,4.89,4.34,Projektant przemysłowy
8.68,7.9,4.79,5.9,5.35,Projektant przemysłowy
6.01,7.34,4.01,5.23,4.67,Inżynier przemysłowy
6.01,7.34,4.01,5.23,4.67,Inżynier przemysłowy
7.02,8.35,5.02,6.24,5.68,Inżynier przemysłowy
6.78,8.45,3.45,6.45,5.45,Ubezpieczyciel
6.98,8.65,3.65,6.65,5.65,Ubezpieczyciel
6.78,8.45,3.45,6.45,5.45,Ubezpieczyciel
6.98,8.65,3.65,6.65,5.65,Ubezpieczyciel
7.79,9.46,4.46,7.46,6.46,Ubezpieczyciel
7.99,9.66,4.66,7.66,6.66,Ubezpieczyciel
8.45,4.23,7.67,7.23,6.45,Dekorator wnętrz
6.23,4.23,8.45,7.98,6.45,Dekorator wnętrz
6.03,4.03,8.25,7.78,6.25,Dekorator wnętrz
8.45,4.23,7.67,7.23,6.45,Dekorator wnętrz
6.23,4.23,8.45,7.98,6.45,Dekorator wnętrz
6.03,4.03,8.25,7.78,6.25,Dekorator wnętrz
9.46,5.24,8.68,8.24,7.46,Dekorator wnętrz
7.24,5.24,9.46,8.99,7.46,Dekorator wnętrz
7.04,5.04,9.26,8.79,7.26,Dekorator wnętrz
7.23,8.23,8.67,6.45,6.01,Bankier inwestycyjny
7.43,8.43,8.87,6.65,6.21,Bankier inwestycyjny
7.23,8.23,8.67,6.45,6.01,Bankier inwestycyjny
7.43,8.43,8.87,6.65,6.21,Bankier inwestycyjny
8.24,9.24,9.68,7.46,7.02,Bankier inwestycyjny
8.44,9.44,9.88,7.66,7.22,Bankier inwestycyjny
6.78,8.45,7.34,5.45,6.01,Menedżer projektów IT
6.98,8.65,7.54,5.65,6.21,Menedżer projektów IT
6.78,8.45,7.34,5.45,6.01,Menedżer projektów IT
6.98,8.65,7.54,5.65,6.21,Menedżer projektów IT
7.79,9.46,8.35,6.46,7.02,Menedżer projektów IT
7.99,9.66,8.55,6.66,7.22,Menedżer projektów IT
6.34,8.12,2.89,6.78,4.78,Specjalista wsparcia IT
6.34,8.12,2.89,6.78,4.78,Specjalista wsparcia IT
7.35,9.13,3.9,7.79,5.79,Specjalista wsparcia IT
8.78,7.34,5.23,6.45,6.01,Dziennikarz
8.78,7.34,5.23,6.45,6.01,Dziennikarz
9.79,8.35,6.24,7.46,7.02,Dziennikarz
8.45,7.89,5.67,7.12,6.45,Prawnik
8.45,7.89,5.67,7.12,6.45,Prawnik
9.46,8.9,6.68,8.13,7.46,Prawnik
8.78,7.67,4.45,5.12,6.01,Biolog morski
8.98,7.87,4.65,5.32,6.21,Biolog morski
8.91,7.67,4.45,7.23,5.78,Biolog morski
8.78,7.67,4.45,5.12,6.01,Biolog morski
8.98,7.87,4.65,5.32,6.21,Biolog morski
8.91,7.67,4.45,7.23,5.78,Biolog morski
9.79,8.68,5.46,6.13,7.02,Biolog morski
9.1,8.88,5.66,6.33,7.22,Biolog morski
9.92,8.68,5.46,8.24,6.79,Biolog morski
8.45,7.78,5.67,7.34,6.45,Analityk rynku
8.45,7.78,5.67,7.34,6.45,Analityk rynku
9.46,8.79,6.68,8.35,7.46,Analityk rynku
8.67,7.67,6.01,7.45,6.45,Badacz rynku
8.87,7.87,6.21,7.65,6.65,Badacz rynku
8.67,7.67,6.01,7.45,6.45,Badacz rynku
8.87,7.87,6.21,7.65,6.65,Badacz rynku
9.68,8.68,7.02,8.46,7.46,Badacz rynku
9.88,8.88,7.22,8.66,7.66,Badacz rynku
6.67,8.45,3.45,6.12,5.23,Analityk marketingowy
6.87,8.65,3.65,6.32,5.43,Analityk marketingowy
8.45,6.45,7.01,7.56,5.67,Analityk marketingowy
6.67,8.45,3.45,6.12,5.23,Analityk marketingowy
6.87,8.65,3.65,6.32,5.43,Analityk marketingowy
8.45,6.45,7.01,7.56,5.67,Analityk marketingowy
7.68,9.46,4.46,7.13,6.24,Analityk marketingowy
7.88,9.66,4.66,7.33,6.44,Analityk marketingowy
9.46,7.46,8.02,8.57,6.68,Analityk marketingowy
6.45,7.23,8.12,7.45,5.78,Koordynator marketingu
6.45,7.23,8.12,7.45,5.78,Koordynator marketingu
7.46,8.24,9.13,8.46,6.79,Koordynator marketingu
8.45,6.45,7.01,7.56,5.67,Copywriter marketingowy
8.25,6.25,6.81,7.36,5.47,Copywriter marketingowy
8.45,6.45,7.01,7.56,5.67,Copywriter marketingowy
8.25,6.25,6.81,7.36,5.47,Copywriter marketingowy
9.46,7.46,8.02,8.57,6.68,Copywriter marketingowy
9.26,7.26,7.82,8.37,6.48,Copywriter marketingowy
6.23,7.34,8.78,7.45,5.67,Menedżer marketingu
7.87,6.32,8.98,7.65,6.65,Menedżer marketingu
6.23,7.34,8.78,7.45,5.67,Menedżer marketingu
7.87,6.32,8.98,7.65,6.65,Menedżer marketingu
7.24,8.35,9.79,8.46,6.68,Menedżer marketingu
8.88,7.33,3.54,8.66,7.66,Menedżer marketingu
6.87,8.65,3.65,6.32,5.43,Badacz marketingowy
6.87,8.65,3.65,6.32,5.43,Badacz marketingowy
7.88,9.66,4.66,7.33,6.44,Badacz marketingowy
7.01,7.78,5.23,9.12,6.01,Doradca małżeński
7.21,7.98,5.43,9.32,6.21,Doradca małżeński
7.01,7.78,5.23,9.12,6.01,Doradca małżeński
7.21,7.98,5.43,9.32,6.21,Doradca małżeński
8.02,8.79,6.24,10.13,7.02,Doradca małżeński
8.22,8.99,6.5,5.6,7.22,Doradca małżeński
6.78,7.67,3.78,4.89,4.34,Projektant mechaniczny
7.67,6.89,3.78,4.89,4.34,Projektant mechaniczny
7.47,6.69,3.58,4.69,4.14,Projektant mechaniczny
6.78,7.67,3.78,4.89,4.34,Projektant mechaniczny
7.67,6.89,3.78,4.89,4.34,Projektant mechaniczny
7.47,6.69,3.58,4.69,4.14,Projektant mechaniczny
7.79,8.68,4.79,5.9,5.35,Projektant mechaniczny
8.68,7.9,4.79,5.9,5.35,Projektant mechaniczny
8.48,7.7,4.59,5.7,5.15,Projektant mechaniczny
6.78,7.23,3.89,5.12,4.67,Inżynier mechaniczny
6.58,7.03,3.69,4.92,4.47,Inżynier mechaniczny
7.43,7.87,4.43,5.65,5.09,Inżynier mechaniczny
6.78,7.23,3.89,5.12,4.67,Inżynier mechaniczny
6.58,7.03,3.69,4.92,4.47,Inżynier mechaniczny
7.43,7.87,4.43,5.65,5.09,Inżynier mechaniczny
7.79,8.24,4.9,6.13,5.68,Inżynier mechaniczny
7.59,8.04,4.7,5.93,5.48,Inżynier mechaniczny
8.44,8.88,5.44,6.66,6.1,Inżynier mechaniczny
9.34,4.45,8.45,6.45,7.12,Muzyk
9.34,4.45,8.45,6.45,7.12,Muzyk
8.23,5.46,9.46,7.46,8.13,Muzyk
4.01,8.23,6.67,9.34,5.12,Pielęgniarka
4.01,8.23,6.67,9.34,5.12,Pielęgniarka
5.02,9.24,7.68,9.3,6.13,Pielęgniarka
7.01,7.78,5.23,9.12,6.01,Terapeuta zajęciowy
7.21,7.98,5.43,9.32,6.21,Terapeuta zajęciowy
7.01,7.78,5.23,9.12,6.01,Terapeuta zajęciowy
7.21,7.98,5.43,9.32,6.21,Terapeuta zajęciowy
8.02,8.79,6.24,10.13,7.02,Terapeuta zajęciowy
8.22,8.99,7.5,9.21,7.22,Terapeuta zajęciowy
7.65,7.32,4.87,8.87,6.54,Strażnicy parku
7.65,7.32,4.87,8.87,6.54,Strażnicy parku
8.66,8.33,5.88,9.88,7.55,Strażnicy parku
6.21,7.98,5.43,9.54,6.65,Pediatra
6.21,7.98,5.43,9.54,6.65,Pediatra
7.22,8.99,6.44,6.34,7.66,Pediatra
6.01,7.78,5.23,9.34,6.45,Pielęgniarka pediatryczna
6.21,7.98,5.43,9.54,6.65,Pielęgniarka pediatryczna
6.01,7.78,5.23,9.34,6.45,Pielęgniarka pediatryczna
6.21,7.98,5.43,9.54,6.65,Pielęgniarka pediatryczna
7.02,8.79,6.24,9.23,7.46,Pielęgniarka pediatryczna
7.22,8.99,6.44,7.34,7.66,Pielęgniarka pediatryczna
6.01,8.45,5.23,9.34,6.45,Pediatra
6.21,8.65,5.43,9.54,6.65,Pediatra
6.01,8.45,5.23,9.34,6.45,Pediatra
6.21,8.65,5.43,9.54,6.65,Pediatra
7.02,9.46,6.24,8.23,7.46,Pediatra
7.22,9.66,5.98,8.2,7.66,Pediatra
7.12,9.45,4.23,6.78,4.56,Farmaceuta
7.12,9.45,4.23,6.78,4.56,Farmaceuta
8.13,6.8,5.24,7.79,5.57,Farmaceuta
7.78,7.34,5.23,9.12,6.01,Fizjoterapeuta
4.32,8.12,5.23,9.12,6.01,Fizjoterapeuta
4.12,7.92,5.03,8.92,5.81,Fizjoterapeuta
7.78,7.34,5.23,9.12,6.01,Fizjoterapeuta
4.32,8.12,5.23,9.12,6.01,Fizjoterapeuta
4.12,7.92,5.03,8.92,5.81,Fizjoterapeuta
8.79,8.35,6.24,10.13,7.02,Fizjoterapeuta
5.33,9.13,6.24,10.13,7.02,Fizjoterapeuta
5.13,8.93,6.04,9.56,6.82,Fizjoterapeuta
7.89,9.23,5.01,7.45,6.34,Lekarz
7.89,9.23,5.01,7.45,6.34,Lekarz
8.9,8.6,6.02,8.46,7.35,Lekarz
5.67,8.78,7.12,6.45,6.01,Detektyw policyjny
5.67,8.78,7.12,6.45,6.01,Detektyw policyjny
